sale_price,sqft,bedrooms,bathrooms,neighborhood,neighborhood_score,year_built,garage,pool,sale_date,property_type,price_per_sqft,property_age,age_category,total_rooms,luxury_score,sale_month,sale_quarter,sale_year,is_weekend_sale
717028.73,1907.0,2,2.2,Riverside,0.85,1962,0,1,2022-01-17,Condo,375.99828526481383,64,Historic,4.2,6.25,1,1,2022,0
674833.26,1759.0,2,2.1,Suburbs,0.7,1998,1,0,2020-06-25,Townhouse,383.64596930073907,28,Vintage,4.1,4.5,6,2,2020,0
479167.64,817.0,3,2.4,Industrial,0.4,2000,1,0,2022-10-31,Multi-Family,586.496499388005,26,Vintage,5.4,3.0,10,4,2022,0
603389.44,1424.0,3,2.5,Riverside,0.85,1958,2,1,2021-09-26,Condo,423.72853932584263,68,Historic,5.5,8.25,9,3,2021,1
517147.28,1631.0,2,1.7,Industrial,0.4,1978,2,1,2020-08-05,Townhouse,317.0737461679951,48,Vintage,3.7,6.0,8,3,2020,0
768124.66,1998.0,2,1.8,Suburbs,0.7,1957,3,0,2023-03-02,Single Family,384.4467767767768,69,Historic,3.8,6.5,3,1,2023,0
659531.95,2274.0,1,1.0,Suburbs,0.7,1964,0,0,2023-03-27,Condo,290.0316402814424,62,Historic,2.0,3.5,3,1,2023,0
551371.69,589.0,4,3.3,Riverside,0.85,2018,2,0,2021-07-31,Multi-Family,936.1149235993208,8,Modern,7.3,6.25,7,3,2021,1
749253.52,2259.0,4,2.8,Industrial,0.4,1983,0,0,2024-02-04,Condo,331.6748649845064,43,Vintage,6.8,2.0,2,1,2024,1
634044.53,1691.0,1,1.1,Hillside,0.95,2001,0,0,2020-05-23,Condo,374.9524127735068,25,Vintage,2.1,4.75,5,2,2020,1
676010.04,1458.0,3,2.2,Downtown,0.9,1999,0,0,2020-07-28,Multi-Family,463.6557201646091,27,Vintage,5.2,4.5,7,3,2020,0
779783.1,2489.0,1,1.3,Suburbs,0.7,2016,1,0,2023-09-17,Single Family,313.2917235837686,10,Modern,2.3,4.5,9,3,2023,1
802214.05,2824.0,5,3.8,Industrial,0.4,1954,0,0,2020-03-30,Multi-Family,284.07013101983006,72,Historic,8.8,2.0,3,1,2020,0
916793.81,2745.0,5,4.1,Riverside,0.85,1958,1,0,2022-11-01,Multi-Family,333.98681602914394,68,Historic,9.1,5.25,11,4,2022,0
641952.66,1328.0,3,2.9,Riverside,0.85,1954,1,0,2022-11-15,Single Family,483.3980873493976,72,Historic,5.9,5.25,11,4,2022,0
718435.58,1752.0,5,4.5,Suburbs,0.7,1976,3,0,2020-11-19,Multi-Family,410.0659703196347,50,Historic,9.5,6.5,11,4,2020,0
828314.89,2265.0,4,2.5,Suburbs,0.7,1996,2,0,2023-06-28,Townhouse,365.70193818984546,30,Vintage,6.5,5.5,6,2,2023,0
875521.42,2780.0,4,3.0,Hillside,0.95,2011,1,0,2020-08-29,Townhouse,314.93576258992806,15,Modern,7.0,5.75,8,3,2020,1
692231.32,1616.0,3,2.5,Riverside,0.85,1994,2,0,2021-06-22,Multi-Family,428.3609653465346,32,Vintage,5.5,6.25,6,2,2021,0
692546.81,1851.0,3,2.7,Industrial,0.4,2015,0,0,2021-07-18,Townhouse,374.1473851971907,11,Modern,5.7,2.0,7,3,2021,1
630441.06,1114.0,3,1.4,Downtown,0.9,1972,1,0,2022-05-04,Condo,565.9255475763017,54,Historic,4.4,5.5,5,2,2022,0
661369.92,1043.0,3,2.3,Downtown,0.9,2010,1,0,2023-01-13,Townhouse,634.1034707574305,16,Modern,5.3,5.5,1,1,2023,0
734629.64,3084.0,2,1.9,Industrial,0.4,1984,0,0,2020-10-19,Condo,238.20675745784695,42,Vintage,3.9,2.0,10,4,2020,0
687639.01,1942.0,2,2.0,Downtown,0.9,1979,2,0,2022-12-04,Townhouse,354.0880587023687,47,Vintage,4.0,6.5,12,4,2022,1
881723.4,2802.0,3,2.7,Downtown,0.9,2016,0,0,2021-12-15,Multi-Family,314.6764453961456,10,Modern,5.7,4.5,12,4,2021,0
667410.99,2289.0,2,2.0,Industrial,0.4,1959,3,0,2021-10-04,Condo,291.5731716906946,67,Historic,4.0,5.0,10,4,2021,0
560913.9,1483.0,3,2.7,Industrial,0.4,2005,0,0,2021-01-24,Condo,378.2291975724882,21,Vintage,5.7,2.0,1,1,2021,1
831526.23,2289.0,5,4.0,Suburbs,0.7,1983,2,0,2024-01-25,Multi-Family,363.2705242463958,43,Vintage,9.0,5.5,1,1,2024,0
970147.86,3230.0,3,3.5,Downtown,0.9,2014,1,1,2023-11-14,Multi-Family,300.3553746130031,12,Modern,6.5,7.5,11,4,2023,0
662874.05,1971.0,3,1.9,Downtown,0.9,1955,1,0,2020-06-05,Multi-Family,336.3135717909691,71,Historic,4.9,5.5,6,2,2020,0
1009143.09,3251.0,3,3.1,Hillside,0.95,2019,1,1,2020-06-09,Townhouse,310.4100553675792,7,Modern,6.1,7.75,6,2,2020,0
497796.49,500.0,3,1.9,Suburbs,0.7,1992,1,0,2022-10-14,Townhouse,995.59298,34,Vintage,4.9,4.5,10,4,2022,0
798404.19,2657.0,2,1.6,Suburbs,0.7,1965,1,0,2022-02-17,Townhouse,300.4908505833647,61,Historic,3.6,4.5,2,1,2022,0
808805.16,2069.0,4,3.2,Downtown,0.9,2012,1,0,2020-08-10,Multi-Family,390.9159787336878,14,Modern,7.2,5.5,8,3,2020,0
753899.99,1760.0,2,2.1,Riverside,0.85,2014,0,0,2022-06-30,Single Family,428.35226704545454,12,Modern,4.1,4.25,6,2,2022,0
647916.82,2073.0,1,1.0,Riverside,0.85,1954,1,0,2020-05-03,Townhouse,312.5503232030873,72,Historic,2.0,5.25,5,2,2020,1
444573.24,500.0,4,3.3,Industrial,0.4,1974,1,0,2022-03-15,Single Family,889.14648,52,Historic,7.3,3.0,3,1,2022,0
722035.89,1824.0,2,2.1,Suburbs,0.7,1976,2,0,2023-03-19,Condo,395.85300986842105,50,Historic,4.1,5.5,3,1,2023,1
884940.48,2285.0,3,2.9,Downtown,0.9,1991,2,0,2023-12-24,Multi-Family,387.28248577680523,35,Vintage,5.9,6.5,12,4,2023,1
877893.18,3182.0,1,1.0,Downtown,0.9,2004,0,1,2021-06-30,Multi-Family,275.8935197988686,22,Vintage,2.0,6.5,6,2,2021,0
666396.81,1585.0,2,1.8,Downtown,0.9,1975,2,0,2022-03-28,Condo,420.4396277602524,51,Historic,3.8,6.5,3,1,2022,0
601315.05,1353.0,2,1.7,Hillside,0.95,1965,1,0,2022-06-03,Townhouse,444.43093126385816,61,Historic,3.7,5.75,6,2,2022,0
628831.05,1598.0,1,1.1,Riverside,0.85,1977,2,1,2023-11-12,Townhouse,393.51129536921155,49,Vintage,2.1,8.25,11,4,2023,1
854436.83,2732.0,3,2.3,Hillside,0.95,1979,1,0,2023-07-16,Townhouse,312.7514019033675,47,Vintage,5.3,5.75,7,3,2023,1
844373.0,2263.0,4,3.0,Downtown,0.9,1994,0,0,2023-08-22,Single Family,373.12107821475917,32,Vintage,7.0,4.5,8,3,2023,0
624201.05,1576.0,3,2.7,Downtown,0.9,1968,2,0,2020-01-16,Condo,396.0666560913706,58,Historic,5.7,6.5,1,1,2020,0
661932.67,2077.0,2,2.0,Suburbs,0.7,1972,2,1,2022-11-23,Townhouse,318.6965190178142,54,Historic,4.0,7.5,11,4,2022,0
805541.48,2774.0,3,2.7,Riverside,0.85,1963,1,0,2020-12-19,Single Family,290.38986301369863,63,Historic,5.7,5.25,12,4,2020,1
608319.65,1438.0,2,2.1,Industrial,0.4,2023,0,1,2024-01-27,Condo,423.0317454798331,3,New,4.1,4.0,1,1,2024,1
635206.88,1737.0,3,2.9,Downtown,0.9,1972,0,0,2022-09-18,Townhouse,365.6919286125504,54,Historic,5.9,4.5,9,3,2022,1
668568.15,1686.0,3,2.1,Suburbs,0.7,1989,3,1,2023-02-01,Single Family,396.54101423487543,37,Vintage,5.1,8.5,2,1,2023,0
586760.22,829.0,3,2.3,Riverside,0.85,2013,1,0,2023-08-05,Condo,707.7927864897466,13,Modern,5.3,5.25,8,3,2023,1
789718.68,2236.0,4,3.2,Hillside,0.95,2008,2,1,2020-05-22,Townhouse,353.1836672629696,18,Modern,7.2,8.75,5,2,2020,0
782211.83,2208.0,3,2.6,Downtown,0.9,1969,3,0,2022-09-03,Townhouse,354.2626041666666,57,Historic,5.6,7.5,9,3,2022,1
572328.65,2004.0,3,2.4,Industrial,0.4,1981,1,0,2021-11-28,Multi-Family,285.5931387225549,45,Vintage,5.4,3.0,11,4,2021,1
672155.41,1812.0,5,4.3,Riverside,0.85,1973,2,0,2020-12-02,Townhouse,370.9466942604857,53,Historic,9.3,6.25,12,4,2020,0
464257.8,867.0,2,2.5,Industrial,0.4,1995,0,0,2021-11-23,Multi-Family,535.476124567474,31,Vintage,4.5,2.0,11,4,2021,0
688115.16,1663.0,3,2.7,Downtown,0.9,1967,1,0,2022-10-12,Townhouse,413.7794107035478,59,Historic,5.7,5.5,10,4,2022,0
714822.18,1725.0,4,3.3,Riverside,0.85,1997,2,0,2021-01-10,Single Family,414.38966956521745,29,Vintage,7.3,6.25,1,1,2021,1
646195.26,1358.0,3,2.9,Suburbs,0.7,1963,1,1,2023-05-12,Single Family,475.84334315169366,63,Historic,5.9,6.5,5,2,2023,0
605178.71,1870.0,2,1.3,Industrial,0.4,2003,1,0,2020-02-27,Townhouse,323.62497860962566,23,Vintage,3.3,3.0,2,1,2020,0
800577.69,2323.0,3,2.6,Hillside,0.95,1970,1,0,2021-08-11,Townhouse,344.6309470512268,56,Historic,5.6,5.75,8,3,2021,0
937136.82,3508.0,3,2.9,Hillside,0.95,1954,2,0,2022-11-28,Multi-Family,267.14276510832383,72,Historic,5.9,6.75,11,4,2022,0
657192.63,2139.0,3,2.4,Industrial,0.4,1980,1,0,2021-07-14,Single Family,307.2429312762973,46,Vintage,5.4,3.0,7,3,2021,0
783390.89,2206.0,2,1.5,Downtown,0.9,2016,1,0,2023-09-18,Single Family,355.1182638259293,10,Modern,3.5,5.5,9,3,2023,0
854539.58,1940.0,5,3.9,Downtown,0.9,2008,0,0,2022-05-30,Townhouse,440.4843195876288,18,Modern,8.9,4.5,5,2,2022,0
578603.41,500.0,4,3.3,Downtown,0.9,1993,3,0,2020-12-09,Multi-Family,1157.20682,33,Vintage,7.3,7.5,12,4,2020,0
805349.33,1978.0,3,2.3,Hillside,0.95,2013,2,1,2023-01-16,Townhouse,407.15335187057633,13,Modern,5.3,8.75,1,1,2023,0
762627.15,2048.0,3,3.2,Hillside,0.95,1991,1,0,2020-11-28,Single Family,372.3765380859375,35,Vintage,6.2,5.75,11,4,2020,1
1060893.77,3970.0,4,3.2,Suburbs,0.7,1987,1,0,2023-10-11,Single Family,267.22764987405543,39,Vintage,7.2,4.5,10,4,2023,0
652151.28,1846.0,2,1.6,Downtown,0.9,1956,1,1,2022-06-19,Single Family,353.2780498374865,70,Historic,3.6,7.5,6,2,2022,1
780112.53,2241.0,2,1.9,Hillside,0.95,2008,1,0,2022-08-08,Single Family,348.10911646586345,18,Modern,3.9,5.75,8,3,2022,0
819621.52,1972.0,3,2.9,Hillside,0.95,2018,1,0,2022-04-25,Townhouse,415.62957403651114,8,Modern,5.9,5.75,4,2,2022,0
741581.95,1065.0,4,3.3,Downtown,0.9,2019,1,1,2024-01-27,Single Family,696.3210798122066,7,Modern,7.3,7.5,1,1,2024,1
898864.16,2914.0,1,1.3,Downtown,0.9,1998,1,0,2023-11-10,Townhouse,308.4640219629376,28,Vintage,2.3,5.5,11,4,2023,0
912158.99,2601.0,5,3.7,Hillside,0.95,1960,2,0,2020-12-30,Single Family,350.69549788542867,66,Historic,8.7,6.75,12,4,2020,0
743263.2,2632.0,3,3.0,Industrial,0.4,1951,3,0,2023-06-24,Single Family,282.3948328267477,75,Historic,6.0,5.0,6,2,2023,1
646323.61,1272.0,3,2.8,Hillside,0.95,1976,0,0,2021-05-12,Condo,508.1160455974843,50,Historic,5.8,4.75,5,2,2021,0
839039.05,3122.0,2,2.2,Suburbs,0.7,1965,1,0,2022-04-15,Multi-Family,268.75049647661757,61,Historic,4.2,4.5,4,2,2022,0
589997.77,878.0,2,2.0,Riverside,0.85,2013,2,0,2022-12-22,Condo,671.9792369020502,13,Modern,4.0,6.25,12,4,2022,0
895414.98,2469.0,4,3.5,Downtown,0.9,2015,3,1,2022-05-17,Condo,362.6630133657351,11,Modern,7.5,9.5,5,2,2022,0
1055313.3,3752.0,5,3.7,Suburbs,0.7,1998,1,0,2022-10-15,Single Family,281.26687100213223,28,Vintage,8.7,4.5,10,4,2022,1
523715.23,1207.0,3,2.5,Industrial,0.4,1965,3,0,2023-06-17,Multi-Family,433.8982850041425,61,Historic,5.5,5.0,6,2,2023,1
734596.2,1546.0,5,4.4,Riverside,0.85,2022,2,0,2023-01-09,Condo,475.1592496765847,4,New,9.4,6.25,1,1,2023,0
799546.58,2079.0,4,3.8,Hillside,0.95,2001,1,0,2022-12-26,Condo,384.58228956228953,25,Vintage,7.8,5.75,12,4,2022,0
678098.23,1597.0,3,2.3,Downtown,0.9,2022,1,0,2021-08-22,Townhouse,424.607532874139,4,New,5.3,5.5,8,3,2021,1
584425.2,759.0,3,2.7,Hillside,0.95,1954,2,0,2022-08-23,Multi-Family,769.993675889328,72,Historic,5.7,6.75,8,3,2022,0
758897.77,2054.0,3,2.5,Suburbs,0.7,1985,1,1,2023-09-24,Condo,369.47311100292114,41,Vintage,5.5,6.5,9,3,2023,1
618560.0,1150.0,3,2.4,Downtown,0.9,1956,1,0,2023-01-26,Condo,537.8782608695652,70,Historic,5.4,5.5,1,1,2023,0
770539.3,2378.0,1,1.3,Hillside,0.95,2010,1,0,2021-11-09,Townhouse,324.02830109335576,16,Modern,2.3,5.75,11,4,2021,0
617056.58,1264.0,3,2.9,Downtown,0.9,1978,1,1,2021-04-15,Single Family,488.1776740506329,48,Vintage,5.9,7.5,4,2,2021,0
813838.14,3239.0,1,1.3,Suburbs,0.7,2016,0,1,2020-09-23,Condo,251.26216116085212,10,Modern,2.3,5.5,9,3,2020,0
703665.64,1373.0,4,3.2,Hillside,0.95,1979,2,1,2023-10-22,Multi-Family,512.5022869628551,47,Vintage,7.2,8.75,10,4,2023,1
736245.43,1742.0,4,3.5,Riverside,0.85,1989,3,0,2023-08-02,Townhouse,422.64376004592424,37,Vintage,7.5,7.25,8,3,2023,0
784318.31,2650.0,2,1.8,Industrial,0.4,1980,1,0,2022-03-28,Multi-Family,295.96917358490566,46,Vintage,3.8,3.0,3,1,2022,0
649898.35,1015.0,3,2.7,Hillside,0.95,1997,1,0,2021-08-01,Multi-Family,640.2939408866995,29,Vintage,5.7,5.75,8,3,2021,1
820875.98,2181.0,3,3.0,Downtown,0.9,1955,1,1,2023-07-19,Multi-Family,376.3759651535993,71,Historic,6.0,7.5,7,3,2023,0
952543.97,3045.0,3,2.0,Hillside,0.95,2011,1,0,2023-03-29,Townhouse,312.8223218390805,15,Modern,5.0,5.75,3,1,2023,0
543908.91,714.0,2,2.1,Downtown,0.9,1978,1,0,2022-05-17,Multi-Family,761.7771848739496,48,Vintage,4.1,5.5,5,2,2022,0
736179.3,2147.0,3,2.1,Suburbs,0.7,1958,2,1,2021-12-02,Condo,342.8874243129949,68,Historic,5.1,7.5,12,4,2021,0
605223.66,2207.0,2,2.3,Industrial,0.4,2003,1,0,2020-08-17,Townhouse,274.2291164476665,23,Vintage,4.3,3.0,8,3,2020,0
759564.99,2625.0,1,1.0,Downtown,0.9,1960,1,0,2021-12-26,Condo,289.3580914285714,66,Historic,2.0,5.5,12,4,2021,1
511334.83,1010.0,1,1.0,Hillside,0.95,1968,1,0,2021-05-12,Single Family,506.2721089108911,58,Historic,2.0,5.75,5,2,2021,0
564398.18,943.0,2,2.1,Suburbs,0.7,2023,1,0,2022-08-29,Condo,598.513446447508,3,New,4.1,4.5,8,3,2022,0
820134.84,2417.0,4,3.4,Riverside,0.85,1954,1,0,2020-07-24,Multi-Family,339.31933802234175,72,Historic,7.4,5.25,7,3,2020,0
879785.54,2237.0,5,3.7,Hillside,0.95,2019,1,0,2020-07-17,Single Family,393.2881269557443,7,Modern,8.7,5.75,7,3,2020,0
624583.81,2200.0,3,2.2,Industrial,0.4,1967,0,0,2020-11-17,Multi-Family,283.9017318181818,59,Historic,5.2,2.0,11,4,2020,0
723308.62,2277.0,3,2.5,Suburbs,0.7,1970,2,0,2020-12-25,Townhouse,317.6585946420729,56,Historic,5.5,5.5,12,4,2020,0
569647.01,1455.0,2,1.5,Hillside,0.95,1964,0,1,2023-11-19,Townhouse,391.5099725085911,62,Historic,3.5,6.75,11,4,2023,1
789975.92,2185.0,3,2.3,Downtown,0.9,2008,2,1,2021-05-11,Single Family,361.5450434782609,18,Modern,5.3,8.5,5,2,2021,0
784084.1,2234.0,2,1.9,Downtown,0.9,2023,2,0,2021-04-02,Condo,350.97766338406444,3,New,3.9,6.5,4,2,2021,0
635599.59,1428.0,3,2.3,Downtown,0.9,1955,0,0,2022-06-20,Multi-Family,445.0977521008403,71,Historic,5.3,4.5,6,2,2022,0
1054534.25,3492.0,5,4.1,Hillside,0.95,1973,2,0,2023-03-06,Condo,301.9857531500573,53,Historic,9.1,6.75,3,1,2023,0
690523.27,2379.0,2,2.3,Industrial,0.4,2009,2,0,2020-06-01,Multi-Family,290.2577847835225,17,Modern,4.3,4.0,6,2,2020,0
591215.63,1046.0,4,3.3,Downtown,0.9,1977,0,0,2020-11-05,Multi-Family,565.215707456979,49,Vintage,7.3,4.5,11,4,2020,0
856286.22,2525.0,1,1.2,Hillside,0.95,2023,3,0,2024-01-14,Condo,339.12325544554454,3,New,2.2,7.75,1,1,2024,1
644359.22,1220.0,3,3.2,Hillside,0.95,1972,2,0,2021-03-27,Townhouse,528.1632950819671,54,Historic,6.2,6.75,3,1,2021,1
688951.43,2629.0,2,1.5,Industrial,0.4,1995,1,0,2020-09-24,Townhouse,262.0583605933815,31,Vintage,3.5,3.0,9,3,2020,0
872579.42,2926.0,3,3.0,Suburbs,0.7,1986,2,0,2023-05-26,Single Family,298.2157963089542,40,Vintage,6.0,5.5,5,2,2023,0
552860.53,1343.0,2,2.2,Suburbs,0.7,1963,0,0,2022-06-20,Condo,411.6608562918839,63,Historic,4.2,3.5,6,2,2022,0
905807.89,2770.0,3,2.9,Hillside,0.95,1997,2,0,2022-01-26,Townhouse,327.0064584837545,29,Vintage,5.9,6.75,1,1,2022,0
719469.93,2330.0,3,3.0,Suburbs,0.7,2020,0,1,2020-07-20,Townhouse,308.78537768240346,6,Modern,6.0,5.5,7,3,2020,0
804010.7,2657.0,3,2.7,Riverside,0.85,1985,1,0,2020-12-25,Multi-Family,302.6009409108016,41,Vintage,5.7,5.25,12,4,2020,0
934292.47,3517.0,3,2.4,Industrial,0.4,2009,0,0,2023-02-10,Multi-Family,265.65040375319876,17,Modern,5.4,2.0,2,1,2023,0
820065.02,1803.0,5,4.3,Hillside,0.95,2003,2,0,2023-08-10,Townhouse,454.8336217415419,23,Vintage,9.3,6.75,8,3,2023,0
694873.24,1397.0,3,2.9,Suburbs,0.7,2012,1,0,2023-04-03,Single Family,497.4038940586972,14,Modern,5.9,4.5,4,2,2023,0
588098.37,1288.0,2,2.2,Suburbs,0.7,1997,0,0,2021-05-22,Townhouse,456.59811335403725,29,Vintage,4.2,3.5,5,2,2021,1
566905.4,1347.0,2,1.9,Industrial,0.4,1971,0,0,2023-03-22,Single Family,420.86518188567186,55,Historic,3.9,2.0,3,1,2023,0
778444.87,1938.0,4,3.1,Downtown,0.9,1992,2,1,2021-03-03,Single Family,401.6743395252838,34,Vintage,7.1,8.5,3,1,2021,0
786848.94,2272.0,3,2.7,Suburbs,0.7,1990,1,0,2022-12-19,Multi-Family,346.3243573943662,36,Vintage,5.7,4.5,12,4,2022,0
712837.69,2221.0,3,2.9,Industrial,0.4,1966,2,0,2022-06-28,Single Family,320.95348491670416,60,Historic,5.9,4.0,6,2,2022,0
819365.68,2661.0,2,2.2,Downtown,0.9,2012,1,0,2020-03-07,Condo,307.9164524614807,14,Modern,4.2,5.5,3,1,2020,1
726228.21,2010.0,3,2.5,Hillside,0.95,1967,1,0,2021-09-19,Condo,361.3075671641791,59,Historic,5.5,5.75,9,3,2021,1
899202.04,3162.0,2,2.0,Downtown,0.9,2021,2,0,2021-08-02,Multi-Family,284.37762175838077,5,Modern,4.0,6.5,8,3,2021,0
702894.92,1788.0,5,3.6,Suburbs,0.7,1952,2,0,2021-11-06,Townhouse,393.1179642058166,74,Historic,8.6,5.5,11,4,2021,1
756302.31,2500.0,1,1.0,Hillside,0.95,1963,2,0,2022-10-28,Condo,302.52092400000004,63,Historic,2.0,6.75,10,4,2022,0
693823.35,1314.0,3,2.8,Downtown,0.9,1983,0,0,2023-07-28,Townhouse,528.0238584474886,43,Vintage,5.8,4.5,7,3,2023,0
576470.38,1143.0,2,1.6,Hillside,0.95,1950,0,0,2023-12-14,Multi-Family,504.3485389326334,76,Historic,3.6,4.75,12,4,2023,0
761186.43,2385.0,3,2.9,Downtown,0.9,1997,0,0,2020-11-30,Single Family,319.1557358490566,29,Vintage,5.9,4.5,11,4,2020,0
671781.82,1821.0,4,3.4,Downtown,0.9,1959,3,1,2020-07-06,Single Family,368.90819330038437,67,Historic,7.4,9.5,7,3,2020,0
